sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),label,label_sting
5.1,3.7,1.5,0.4,0,setosa
4.9,2.4,3.3,1.0,1,versicolor
6.7,3.3,5.7,2.5,2,virginica
7.2,3.0,5.8,1.6,2,virginica
4.9,3.6,1.4,0.1,0,setosa
6.7,3.1,5.6,2.4,2,virginica
4.9,3.0,1.4,0.2,0,setosa
6.9,3.1,4.9,1.5,1,versicolor
7.4,2.8,6.1,1.9,2,virginica
6.3,2.9,5.6,1.8,2,virginica
5.7,2.8,4.1,1.3,1,versicolor
6.5,3.0,5.5,1.8,2,virginica
6.3,2.3,4.4,1.3,1,versicolor
6.4,2.9,4.3,1.3,1,versicolor
5.6,2.8,4.9,2.0,2,virginica
5.9,3.0,5.1,1.8,2,virginica
5.4,3.4,1.7,0.2,0,setosa
6.1,2.8,4.0,1.3,1,versicolor
4.9,2.5,4.5,1.7,2,virginica
5.8,4.0,1.2,0.2,0,setosa
5.8,2.6,4.0,1.2,1,versicolor
7.1,3.0,5.9,2.1,2,virginica
